"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2015",48.466274,
"AUS","EDUTRY","25_34","PC_AGE","A","2016",49.30521,
"AUS","EDUTRY","25_34","PC_AGE","A","2017",51.989063,
"AUS","EDUTRY","25_34","PC_AGE","A","2018",51.393173,
"AUT","EDUTRY","25_34","PC_AGE","A","2015",38.626846,
"AUT","EDUTRY","25_34","PC_AGE","A","2016",39.671021,
"AUT","EDUTRY","25_34","PC_AGE","A","2017",40.324657,
"AUT","EDUTRY","25_34","PC_AGE","A","2018",40.458271,
"BEL","EDUTRY","25_34","PC_AGE","A","2015",43.144318,
"BEL","EDUTRY","25_34","PC_AGE","A","2016",44.311111,
"BEL","EDUTRY","25_34","PC_AGE","A","2017",45.725086,
"BEL","EDUTRY","25_34","PC_AGE","A","2018",47.397144,
"CAN","EDUTRY","25_34","PC_AGE","A","2015",59.182831,
"CAN","EDUTRY","25_34","PC_AGE","A","2016",60.582603,
"CAN","EDUTRY","25_34","PC_AGE","A","2017",60.916767,
"CAN","EDUTRY","25_34","PC_AGE","A","2018",61.754246,
"CZE","EDUTRY","25_34","PC_AGE","A","2015",31.010311,
"CZE","EDUTRY","25_34","PC_AGE","A","2016",32.564495,
"CZE","EDUTRY","25_34","PC_AGE","A","2017",33.821026,
"CZE","EDUTRY","25_34","PC_AGE","A","2018",33.328793,
"DNK","EDUTRY","25_34","PC_AGE","A","2015",44.475067,
"DNK","EDUTRY","25_34","PC_AGE","A","2016",45.882004,
"DNK","EDUTRY","25_34","PC_AGE","A","2017",46.570305,
"DNK","EDUTRY","25_34","PC_AGE","A","2018",44.819962,
"FIN","EDUTRY","25_34","PC_AGE","A","2015",40.524899,
"FIN","EDUTRY","25_34","PC_AGE","A","2016",41.13372,
"FIN","EDUTRY","25_34","PC_AGE","A","2017",41.253643,
"FIN","EDUTRY","25_34","PC_AGE","A","2018",41.313869,
"FRA","EDUTRY","25_34","PC_AGE","A","2015",44.687599,
"FRA","EDUTRY","25_34","PC_AGE","A","2016",44.036968,
"FRA","EDUTRY","25_34","PC_AGE","A","2017",44.34428,
"FRA","EDUTRY","25_34","PC_AGE","A","2018",46.937691,
"DEU","EDUTRY","25_34","PC_AGE","A","2015",29.588667,
"DEU","EDUTRY","25_34","PC_AGE","A","2016",30.527618,
"DEU","EDUTRY","25_34","PC_AGE","A","2017",31.308737,
"DEU","EDUTRY","25_34","PC_AGE","A","2018",32.281734,
"GRC","EDUTRY","25_34","PC_AGE","A","2015",40.063866,
"GRC","EDUTRY","25_34","PC_AGE","A","2016",40.979172,
"GRC","EDUTRY","25_34","PC_AGE","A","2017",42.479965,
"GRC","EDUTRY","25_34","PC_AGE","A","2018",42.821678,
"HUN","EDUTRY","25_34","PC_AGE","A","2015",32.12635,
"HUN","EDUTRY","25_34","PC_AGE","A","2016",30.400248,
"HUN","EDUTRY","25_34","PC_AGE","A","2017",30.162258,
"HUN","EDUTRY","25_34","PC_AGE","A","2018",30.576908,
"ISL","EDUTRY","25_34","PC_AGE","A","2015",40.052662,
"ISL","EDUTRY","25_34","PC_AGE","A","2016",43.270977,
"ISL","EDUTRY","25_34","PC_AGE","A","2017",47.419262,
"ISL","EDUTRY","25_34","PC_AGE","A","2018",47.014381,
"IRL","EDUTRY","25_34","PC_AGE","A","2015",52.004166,
"IRL","EDUTRY","25_34","PC_AGE","A","2017",53.473541,
"IRL","EDUTRY","25_34","PC_AGE","A","2018",56.174488,
"ITA","EDUTRY","25_34","PC_AGE","A","2015",25.149963,
"ITA","EDUTRY","25_34","PC_AGE","A","2016",25.584146,
"ITA","EDUTRY","25_34","PC_AGE","A","2017",26.816479,
"ITA","EDUTRY","25_34","PC_AGE","A","2018",27.726679,
"JPN","EDUTRY","25_34","PC_AGE","A","2015",59.646538,
"JPN","EDUTRY","25_34","PC_AGE","A","2016",60.120392,
"JPN","EDUTRY","25_34","PC_AGE","A","2017",60.426178,
"JPN","EDUTRY","25_34","PC_AGE","A","2018",60.730949,
"KOR","EDUTRY","25_34","PC_AGE","A","2015",68.861946,
"KOR","EDUTRY","25_34","PC_AGE","A","2016",69.851555,
"KOR","EDUTRY","25_34","PC_AGE","A","2017",69.752068,
"KOR","EDUTRY","25_34","PC_AGE","A","2018",69.574219,
"LUX","EDUTRY","25_34","PC_AGE","A","2015",49.945854,
"LUX","EDUTRY","25_34","PC_AGE","A","2016",51.431648,
"LUX","EDUTRY","25_34","PC_AGE","A","2017",51.395588,
"LUX","EDUTRY","25_34","PC_AGE","A","2018",54.780186,
"MEX","EDUTRY","25_34","PC_AGE","A","2015",20.806568,
"MEX","EDUTRY","25_34","PC_AGE","A","2016",21.791378,
"MEX","EDUTRY","25_34","PC_AGE","A","2017",22.555721,
"MEX","EDUTRY","25_34","PC_AGE","A","2018",23.359127,
"NLD","EDUTRY","25_34","PC_AGE","A","2015",45.087276,
"NLD","EDUTRY","25_34","PC_AGE","A","2016",45.223412,
"NLD","EDUTRY","25_34","PC_AGE","A","2017",46.594383,
"NLD","EDUTRY","25_34","PC_AGE","A","2018",47.603172,
"NZL","EDUTRY","25_34","PC_AGE","A","2015",39.066757,
"NZL","EDUTRY","25_34","PC_AGE","A","2016",43.396225,
"NZL","EDUTRY","25_34","PC_AGE","A","2017",44.158596,
"NZL","EDUTRY","25_34","PC_AGE","A","2018",45.811745,
"NOR","EDUTRY","25_34","PC_AGE","A","2015",48.138676,
"NOR","EDUTRY","25_34","PC_AGE","A","2016",48.614609,
"NOR","EDUTRY","25_34","PC_AGE","A","2017",48.337029,
"NOR","EDUTRY","25_34","PC_AGE","A","2018",48.211601,
"POL","EDUTRY","25_34","PC_AGE","A","2015",43.193764,
"POL","EDUTRY","25_34","PC_AGE","A","2016",43.47826,
"POL","EDUTRY","25_34","PC_AGE","A","2017",43.526325,
"POL","EDUTRY","25_34","PC_AGE","A","2018",43.523716,
"PRT","EDUTRY","25_34","PC_AGE","A","2015",33.139576,
"PRT","EDUTRY","25_34","PC_AGE","A","2016",34.964241,
"PRT","EDUTRY","25_34","PC_AGE","A","2017",34.031322,
"PRT","EDUTRY","25_34","PC_AGE","A","2018",35.078072,
"SVK","EDUTRY","25_34","PC_AGE","A","2015",31.312998,
"SVK","EDUTRY","25_34","PC_AGE","A","2016",33.372261,
"SVK","EDUTRY","25_34","PC_AGE","A","2017",35.065048,
"SVK","EDUTRY","25_34","PC_AGE","A","2018",37.208523,
"ESP","EDUTRY","25_34","PC_AGE","A","2015",40.959778,
"ESP","EDUTRY","25_34","PC_AGE","A","2016",40.980919,
"ESP","EDUTRY","25_34","PC_AGE","A","2017",42.644691,
"ESP","EDUTRY","25_34","PC_AGE","A","2018",44.259609,
"SWE","EDUTRY","25_34","PC_AGE","A","2015",46.408928,
"SWE","EDUTRY","25_34","PC_AGE","A","2016",47.215698,
"SWE","EDUTRY","25_34","PC_AGE","A","2017",47.388306,
"SWE","EDUTRY","25_34","PC_AGE","A","2018",47.509987,
"CHE","EDUTRY","25_34","PC_AGE","A","2015",46.502586,
"CHE","EDUTRY","25_34","PC_AGE","A","2016",48.844658,
"CHE","EDUTRY","25_34","PC_AGE","A","2017",50.136665,
"CHE","EDUTRY","25_34","PC_AGE","A","2018",51.206909,
"TUR","EDUTRY","25_34","PC_AGE","A","2015",27.517448,
"TUR","EDUTRY","25_34","PC_AGE","A","2016",30.456598,
"TUR","EDUTRY","25_34","PC_AGE","A","2017",31.588659,
"TUR","EDUTRY","25_34","PC_AGE","A","2018",33.280041,
"GBR","EDUTRY","25_34","PC_AGE","A","2015",49.943413,
"GBR","EDUTRY","25_34","PC_AGE","A","2016",51.775383,
"GBR","EDUTRY","25_34","PC_AGE","A","2017",51.624851,
"GBR","EDUTRY","25_34","PC_AGE","A","2018",50.752552,
"USA","EDUTRY","25_34","PC_AGE","A","2015",46.517712,
"USA","EDUTRY","25_34","PC_AGE","A","2016",47.521809,
"USA","EDUTRY","25_34","PC_AGE","A","2017",47.757,
"USA","EDUTRY","25_34","PC_AGE","A","2018",49.373737,
"ARG","EDUTRY","25_34","PC_AGE","A","2017",18.388876,
"ARG","EDUTRY","25_34","PC_AGE","A","2018",39.957542,
"BRA","EDUTRY","25_34","PC_AGE","A","2015",16.62822,
"BRA","EDUTRY","25_34","PC_AGE","A","2016",19.708117,
"BRA","EDUTRY","25_34","PC_AGE","A","2017",19.590364,
"CHL","EDUTRY","25_34","PC_AGE","A","2015",29.874573,
"CHL","EDUTRY","25_34","PC_AGE","A","2017",33.726387,
"EST","EDUTRY","25_34","PC_AGE","A","2015",40.508533,
"EST","EDUTRY","25_34","PC_AGE","A","2016",41.048111,
"EST","EDUTRY","25_34","PC_AGE","A","2017",43.041157,
"EST","EDUTRY","25_34","PC_AGE","A","2018",43.633705,
"IDN","EDUTRY","25_34","PC_AGE","A","2015",13.734091,
"IDN","EDUTRY","25_34","PC_AGE","A","2016",15.066395,
"IDN","EDUTRY","25_34","PC_AGE","A","2017",16.130028,
"ISR","EDUTRY","25_34","PC_AGE","A","2015",45.897861,
"ISR","EDUTRY","25_34","PC_AGE","A","2016",47.449234,
"ISR","EDUTRY","25_34","PC_AGE","A","2017",48.028301,
"RUS","EDUTRY","25_34","PC_AGE","A","2015",56.2855,
"RUS","EDUTRY","25_34","PC_AGE","A","2016",57.57906,
"RUS","EDUTRY","25_34","PC_AGE","A","2017",62.657864,
"SVN","EDUTRY","25_34","PC_AGE","A","2015",40.758549,
"SVN","EDUTRY","25_34","PC_AGE","A","2016",42.977364,
"SVN","EDUTRY","25_34","PC_AGE","A","2017",44.566971,
"SVN","EDUTRY","25_34","PC_AGE","A","2018",40.713264,
"ZAF","EDUTRY","25_34","PC_AGE","A","2015",5.4170251,
"ZAF","EDUTRY","25_34","PC_AGE","A","2016",5.4059763,
"ZAF","EDUTRY","25_34","PC_AGE","A","2017",6.0091648,
"ZAF","EDUTRY","25_34","PC_AGE","A","2018",5.5689878,
"AUS","EDUTRY","55_64","PC_AGE","A","2015",33.931976,
"AUS","EDUTRY","55_64","PC_AGE","A","2016",34.965424,
"AUS","EDUTRY","55_64","PC_AGE","A","2017",33.846718,
"AUS","EDUTRY","55_64","PC_AGE","A","2018",34.811333,
"CAN","EDUTRY","55_64","PC_AGE","A","2015",45.659027,
"CAN","EDUTRY","55_64","PC_AGE","A","2016",46.21072,
"CAN","EDUTRY","55_64","PC_AGE","A","2017",46.512562,
"CAN","EDUTRY","55_64","PC_AGE","A","2018",47.720543,
"CHE","EDUTRY","55_64","PC_AGE","A","2015",30.583302,
"CHE","EDUTRY","55_64","PC_AGE","A","2016",31.622665,
"CHE","EDUTRY","55_64","PC_AGE","A","2017",32.361843,
"CHE","EDUTRY","55_64","PC_AGE","A","2018",33.598095,
"USA","EDUTRY","55_64","PC_AGE","A","2015",41.438072,
"USA","EDUTRY","55_64","PC_AGE","A","2016",41.91584,
"USA","EDUTRY","55_64","PC_AGE","A","2017",42.03458,
"USA","EDUTRY","55_64","PC_AGE","A","2018",42.640469,
"RUS","EDUTRY","55_64","PC_AGE","A","2015",47.449211,
"RUS","EDUTRY","55_64","PC_AGE","A","2016",47.46981,
"RUS","EDUTRY","55_64","PC_AGE","A","2017",50.660606,
"BEL","EDUTRY","55_64","PC_AGE","A","2015",26.898981,
"BEL","EDUTRY","55_64","PC_AGE","A","2016",27.489843,
"BEL","EDUTRY","55_64","PC_AGE","A","2017",30.489338,
"BEL","EDUTRY","55_64","PC_AGE","A","2018",30.715139,
"PRT","EDUTRY","55_64","PC_AGE","A","2015",12.85942,
"PRT","EDUTRY","55_64","PC_AGE","A","2016",13.147831,
"PRT","EDUTRY","55_64","PC_AGE","A","2017",13.212984,
"PRT","EDUTRY","55_64","PC_AGE","A","2018",14.204625,
"SWE","EDUTRY","55_64","PC_AGE","A","2015",29.889202,
"SWE","EDUTRY","55_64","PC_AGE","A","2016",30.792175,
"SWE","EDUTRY","55_64","PC_AGE","A","2017",31.108749,
"SWE","EDUTRY","55_64","PC_AGE","A","2018",32.585026,
"GBR","EDUTRY","55_64","PC_AGE","A","2015",36.353416,
"GBR","EDUTRY","55_64","PC_AGE","A","2016",37.540337,
"GBR","EDUTRY","55_64","PC_AGE","A","2017",36.920013,
"GBR","EDUTRY","55_64","PC_AGE","A","2018",36.625004,
"EST","EDUTRY","55_64","PC_AGE","A","2015",35.411835,
"EST","EDUTRY","55_64","PC_AGE","A","2016",36.096016,
"EST","EDUTRY","55_64","PC_AGE","A","2017",36.385414,
"EST","EDUTRY","55_64","PC_AGE","A","2018",38.065086,
"HUN","EDUTRY","55_64","PC_AGE","A","2015",17.484018,
"HUN","EDUTRY","55_64","PC_AGE","A","2016",17.239086,
"HUN","EDUTRY","55_64","PC_AGE","A","2017",17.693697,
"HUN","EDUTRY","55_64","PC_AGE","A","2018",18.209913,
"ITA","EDUTRY","55_64","PC_AGE","A","2015",12.251569,
"ITA","EDUTRY","55_64","PC_AGE","A","2016",12.385381,
"ITA","EDUTRY","55_64","PC_AGE","A","2017",12.75355,
"ITA","EDUTRY","55_64","PC_AGE","A","2018",13.001196,
"LUX","EDUTRY","55_64","PC_AGE","A","2015",26.164223,
"LUX","EDUTRY","55_64","PC_AGE","A","2016",27.473686,
"LUX","EDUTRY","55_64","PC_AGE","A","2017",22.543402,
"LUX","EDUTRY","55_64","PC_AGE","A","2018",27.980574,
"NZL","EDUTRY","55_64","PC_AGE","A","2015",27.458397,
"NZL","EDUTRY","55_64","PC_AGE","A","2016",28.230469,
"NZL","EDUTRY","55_64","PC_AGE","A","2017",29.476734,
"NZL","EDUTRY","55_64","PC_AGE","A","2018",30.390432,
"SVN","EDUTRY","55_64","PC_AGE","A","2015",18.879032,
"SVN","EDUTRY","55_64","PC_AGE","A","2016",19.108551,
"SVN","EDUTRY","55_64","PC_AGE","A","2017",19.676037,
"SVN","EDUTRY","55_64","PC_AGE","A","2018",21.109079,
"AUT","EDUTRY","55_64","PC_AGE","A","2015",21.790869,
"AUT","EDUTRY","55_64","PC_AGE","A","2016",22.866629,
"AUT","EDUTRY","55_64","PC_AGE","A","2017",23.439724,
"AUT","EDUTRY","55_64","PC_AGE","A","2018",23.819229,
"CZE","EDUTRY","55_64","PC_AGE","A","2015",14.464107,
"CZE","EDUTRY","55_64","PC_AGE","A","2016",15.547841,
"CZE","EDUTRY","55_64","PC_AGE","A","2017",16.553169,
"CZE","EDUTRY","55_64","PC_AGE","A","2018",17.25849,
"FRA","EDUTRY","55_64","PC_AGE","A","2015",22.125341,
"FRA","EDUTRY","55_64","PC_AGE","A","2016",22.060652,
"FRA","EDUTRY","55_64","PC_AGE","A","2017",22.815599,
"FRA","EDUTRY","55_64","PC_AGE","A","2018",23.984407,
"CHL","EDUTRY","55_64","PC_AGE","A","2015",15.58989,
"CHL","EDUTRY","55_64","PC_AGE","A","2017",16.010725,
"NLD","EDUTRY","55_64","PC_AGE","A","2015",26.916695,
"NLD","EDUTRY","55_64","PC_AGE","A","2016",27.404032,
"NLD","EDUTRY","55_64","PC_AGE","A","2017",27.879007,
"NLD","EDUTRY","55_64","PC_AGE","A","2018",29.045347,
"POL","EDUTRY","55_64","PC_AGE","A","2015",13.60395,
"POL","EDUTRY","55_64","PC_AGE","A","2016",13.88941,
"POL","EDUTRY","55_64","PC_AGE","A","2017",15.109154,
