"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STOCKFPOP","TOT","NBR","A","2000",4412170,
"AUS","STOCKFPOP","TOT","NBR","A","2001",4482120,
"AUS","STOCKFPOP","TOT","NBR","A","2002",4534510,
"AUS","STOCKFPOP","TOT","NBR","A","2003",4655610,
"AUS","STOCKFPOP","TOT","NBR","A","2004",4752950,
"AUS","STOCKFPOP","TOT","NBR","A","2005",4877090,
"AUS","STOCKFPOP","TOT","NBR","A","2006",5031630,
"AUS","STOCKFPOP","TOT","NBR","A","2007",5233250,
"AUS","STOCKFPOP","TOT","NBR","A","2008",5477900,
"AUS","STOCKFPOP","TOT","NBR","A","2009",5729880,
"AUS","STOCKFPOP","TOT","NBR","A","2010",5881360,
"AUS","STOCKFPOP","TOT","NBR","A","2011",6018180,
"AUS","STOCKFPOP","TOT","NBR","A","2012",6214010,
"AUS","STOCKFPOP","TOT","NBR","A","2013",6408740,
"AUS","STOCKFPOP","TOT","NBR","A","2014",6570240,
"AUS","STOCKFPOP","TOT","NBR","A","2015",6729730,
"AUS","STOCKFPOP","TOT","NBR","A","2016",6912110,
"AUS","STOCKFPOP","TOT","NBR","A","2017",7139500,
"AUS","STOCKFPOP","TOT","NBR","A","2018",7342730,
"AUT","STOCKFPOP","TOT","NBR","A","2000",872000,
"AUT","STOCKFPOP","TOT","NBR","A","2001",843000,
"AUT","STOCKFPOP","TOT","NBR","A","2002",1112094,
"AUT","STOCKFPOP","TOT","NBR","A","2003",1137351,
"AUT","STOCKFPOP","TOT","NBR","A","2004",1141212,
"AUT","STOCKFPOP","TOT","NBR","A","2005",1154776,
"AUT","STOCKFPOP","TOT","NBR","A","2006",1195156,
"AUT","STOCKFPOP","TOT","NBR","A","2007",1215695,
"AUT","STOCKFPOP","TOT","NBR","A","2008",1235678,
"AUT","STOCKFPOP","TOT","NBR","A","2009",1260277,
"AUT","STOCKFPOP","TOT","NBR","A","2010",1275487,
"AUT","STOCKFPOP","TOT","NBR","A","2011",1294706,
"AUT","STOCKFPOP","TOT","NBR","A","2012",1323083,
"AUT","STOCKFPOP","TOT","NBR","A","2013",1364771,
"AUT","STOCKFPOP","TOT","NBR","A","2014",1414624,
"AUT","STOCKFPOP","TOT","NBR","A","2015",1484595,
"AUT","STOCKFPOP","TOT","NBR","A","2016",1594723,
"AUT","STOCKFPOP","TOT","NBR","A","2017",1656266,
"AUT","STOCKFPOP","TOT","NBR","A","2018",1697123,
"BEL","STOCKFPOP","TOT","NBR","A","2000",1064214,
"BEL","STOCKFPOP","TOT","NBR","A","2001",1080790,
"BEL","STOCKFPOP","TOT","NBR","A","2002",1117261,
"BEL","STOCKFPOP","TOT","NBR","A","2003",1156732,
"BEL","STOCKFPOP","TOT","NBR","A","2004",1185456,
"BEL","STOCKFPOP","TOT","NBR","A","2005",1220062,
"BEL","STOCKFPOP","TOT","NBR","A","2006",1268915,
"BEL","STOCKFPOP","TOT","NBR","A","2007",1319302,
"BEL","STOCKFPOP","TOT","NBR","A","2008",1380323,
"BEL","STOCKFPOP","TOT","NBR","A","2009",1443937,
"BEL","STOCKFPOP","TOT","NBR","A","2010",1503806,
"BEL","STOCKFPOP","TOT","NBR","A","2011",1628793,
"BEL","STOCKFPOP","TOT","NBR","A","2012",1643614,
"BEL","STOCKFPOP","TOT","NBR","A","2013",1748331,
"BEL","STOCKFPOP","TOT","NBR","A","2014",1775561,
"BEL","STOCKFPOP","TOT","NBR","A","2015",1786080,
"BEL","STOCKFPOP","TOT","NBR","A","2016",1849287,
"BEL","STOCKFPOP","TOT","NBR","A","2017",1893433,
"BEL","STOCKFPOP","TOT","NBR","A","2018",1932797,
"CAN","STOCKFPOP","TOT","NBR","A","2001",5448480,
"CAN","STOCKFPOP","TOT","NBR","A","2006",6186950,
"CAN","STOCKFPOP","TOT","NBR","A","2011",6775765,
"CAN","STOCKFPOP","TOT","NBR","A","2016",7540830,
"CZE","STOCKFPOP","TOT","NBR","A","2001",448477,
"CZE","STOCKFPOP","TOT","NBR","A","2002",448477,
"CZE","STOCKFPOP","TOT","NBR","A","2011",745193,
"CZE","STOCKFPOP","TOT","NBR","A","2012",745193,
"DNK","STOCKFPOP","TOT","NBR","A","2000",296924,
"DNK","STOCKFPOP","TOT","NBR","A","2001",308674,
"DNK","STOCKFPOP","TOT","NBR","A","2002",321794,
"DNK","STOCKFPOP","TOT","NBR","A","2003",331506,
"DNK","STOCKFPOP","TOT","NBR","A","2004",337802,
"DNK","STOCKFPOP","TOT","NBR","A","2005",343367,
"DNK","STOCKFPOP","TOT","NBR","A","2006",350436,
"DNK","STOCKFPOP","TOT","NBR","A","2007",360902,
"DNK","STOCKFPOP","TOT","NBR","A","2008",378665,
"DNK","STOCKFPOP","TOT","NBR","A","2009",401771,
"DNK","STOCKFPOP","TOT","NBR","A","2010",414422,
"DNK","STOCKFPOP","TOT","NBR","A","2011",428904,
"DNK","STOCKFPOP","TOT","NBR","A","2012",441538,
"DNK","STOCKFPOP","TOT","NBR","A","2013",456386,
"DNK","STOCKFPOP","TOT","NBR","A","2014",476059,
"DNK","STOCKFPOP","TOT","NBR","A","2015",501057,
"DNK","STOCKFPOP","TOT","NBR","A","2016",540503,
"DNK","STOCKFPOP","TOT","NBR","A","2017",570581,
