"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.547,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.485,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.409,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.445,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0.542,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.504,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.51,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.567,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.643,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0.673,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2015",0.683,
"AUS","PUBUNEMPEXP","TOT","PC_GDP","A","2016",0.645,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2005",1.106,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2006",1.011,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.886,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.826,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2009",1.053,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.995,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.899,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.901,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.984,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2014",1.001,
"AUT","PUBUNEMPEXP","TOT","PC_GDP","A","2015",1.058,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2005",3.208,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2006",3.156,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2007",3.005,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2008",3.065,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2009",3.555,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2010",3.508,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2011",3.474,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2012",3.242,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2013",3.237,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2014",3.238,
"BEL","PUBUNEMPEXP","TOT","PC_GDP","A","2015",2.948,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.607,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.576,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.544,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.64,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0.949,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.792,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.648,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.588,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.563,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0.562,
"CAN","PUBUNEMPEXP","TOT","PC_GDP","A","2015",0.619,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.567,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.492,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.54,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.558,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0.967,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.75,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.65,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.62,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.629,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0.557,
"CZE","PUBUNEMPEXP","TOT","PC_GDP","A","2015",0.478,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0,
"DNK","PUBUNEMPEXP","TOT","PC_GDP","A","2015",0,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2005",1.925,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2006",1.742,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2007",1.489,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2008",1.392,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2009",1.884,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2010",1.938,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2011",1.642,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2012",1.724,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2013",1.937,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2014",2.205,
"FIN","PUBUNEMPEXP","TOT","PC_GDP","A","2015",2.369,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2005",1.67,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2006",1.438,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2007",1.303,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2008",1.251,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2009",1.555,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2010",1.599,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2011",1.506,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2012",1.574,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2013",1.628,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2014",1.626,
"FRA","PUBUNEMPEXP","TOT","PC_GDP","A","2015",1.62,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2005",1.828,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2006",1.622,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2007",1.339,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2008",1.225,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2009",1.618,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2010",1.47,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2011",1.131,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2012",1.032,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2013",1.026,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0.965,
"DEU","PUBUNEMPEXP","TOT","PC_GDP","A","2015",0.906,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.635,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.566,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.543,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.658,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0.946,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.929,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2011",1.048,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.84,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.692,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0.516,
"GRC","PUBUNEMPEXP","TOT","PC_GDP","A","2015",0.487,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.547,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.575,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.664,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.718,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2009",0.849,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2010",0.797,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2011",0.75,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2012",0.541,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.468,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0.357,
"HUN","PUBUNEMPEXP","TOT","PC_GDP","A","2015",0.31,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.299,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.199,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.182,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2008",0.309,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2009",1.57,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2010",1.492,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2011",1.393,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2012",1.21,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2013",0.878,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2014",0.678,
"ISL","PUBUNEMPEXP","TOT","PC_GDP","A","2015",0.502,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.909,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.937,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2007",0.999,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2008",1.386,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2009",2.529,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2010",3.208,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2011",2.926,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2012",2.783,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2013",2.531,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2014",2.135,
"IRL","PUBUNEMPEXP","TOT","PC_GDP","A","2015",1.485,
"ITA","PUBUNEMPEXP","TOT","PC_GDP","A","2005",0.47,
"ITA","PUBUNEMPEXP","TOT","PC_GDP","A","2006",0.476,
